"CAT_CODE";"SUB_CODE";"CAT_NAME";"CAT_STATUS";"CAT_IN_DATE"
1;1;"독서";1;"2024-07-22 10:26:01"
2;1;"문학";1;"2024-07-22 10:26:01"
3;1;"화법과 작문";1;"2024-07-22 10:26:01"
4;1;"언어와 매체";1;"2024-07-22 10:26:01"
5;2;"수학1";1;"2024-07-22 10:26:01"
6;2;"수학2";1;"2024-07-22 10:26:01"
7;2;"미적분";1;"2024-07-22 10:26:01"
8;2;"기하";1;"2024-07-22 10:26:01"
9;2;"확률과 통계";1;"2024-07-22 10:26:01"
10;3;"듣기";1;"2024-07-22 10:26:01"
11;3;"읽기";1;"2024-07-22 10:26:01"
12;4;"한국사";1;"2024-07-22 10:26:01"
13;5;"생활과 윤리";1;"2024-07-22 10:26:01"
14;5;"윤리와 사상";1;"2024-07-22 10:26:01"
15;5;"한국지리";1;"2024-07-22 10:26:01"
16;5;"세계지리";1;"2024-07-22 10:26:01"
17;5;"동아시아사";1;"2024-07-22 10:26:01"
18;5;"세계사";1;"2024-07-22 10:26:01"
19;5;"경제";1;"2024-07-22 10:26:01"
20;5;"정치와 법";1;"2024-07-22 10:26:01"
21;5;"사회 문화";1;"2024-07-22 10:26:01"
22;6;"물리학1";1;"2024-07-22 10:26:01"
23;6;"물리학2";1;"2024-07-22 10:26:01"
24;6;"화학1";1;"2024-07-22 10:26:01"
25;6;"화학2";1;"2024-07-22 10:26:01"
26;6;"생명과학1";1;"2024-07-22 10:26:01"
27;6;"생명과학2";1;"2024-07-22 10:26:01"
28;6;"지구과학1";1;"2024-07-22 10:26:01"
29;6;"지구과학2";1;"2024-07-22 10:26:01"
30;7;"농업 기초 기술";1;"2024-07-22 10:26:01"
31;7;"공업 일반";1;"2024-07-22 10:26:01"
32;7;"상업 경제";1;"2024-07-22 10:26:01"
33;7;"수산 해운 산업 기초";1;"2024-07-22 10:26:01"
34;7;"인간 발달";1;"2024-07-22 10:26:01"
35;7;"성공적인 직업생활";1;"2024-07-22 10:26:01"
36;8;"독일어1";1;"2024-07-22 10:26:01"
37;8;"프랑스어1";1;"2024-07-22 10:26:01"
38;8;"스페인어1";1;"2024-07-22 10:26:01"
39;8;"중국어1";1;"2024-07-22 10:26:01"
40;8;"일본어1";1;"2024-07-22 10:26:01"
41;8;"러시아어1";1;"2024-07-22 10:26:01"
42;8;"아랍어1";1;"2024-07-22 10:26:01"
43;8;"베트남어1";1;"2024-07-22 10:26:01"
44;8;"한문1";1;"2024-07-22 10:26:01"
